TAHUN;AHH;GK;HLS;IPM;P0;P1;P2;PPK;RLS;UHH;PDRB
Simeulue;63,3;444754;13,76;66,03;18,49;2,21;0,47;7085;9,34;65,26;2274361,938
Aceh Singkil;65,39;473983;14,31;68,94;20,2;3,55;1,03;8707;8,53;67,39;2422611,487
Aceh Selatan;62,4;405786;14,42;67,12;12,87;2,13;0,46;8089;8,87;64,35;5530754,59
Aceh Tenggara;66,11;392493;14;69,37;13,21;1,62;0,36;8020;9,66;68,14;5058528,79
Aceh Timur;66,72;440455;13,03;67,63;14,08;2,29;0,61;8489;8,15;68,72;10605784,63
Aceh Tengah;66,8;492227;14,27;73,24;15,08;2,89;0,95;10673;9,85;68,85;7387369,9
Aceh Barat;65,95;517264;14,6;71,38;18,34;2,74;0,68;9516;9,37;67,98;8109233,265
Aceh Besar;67,8;477938;14,72;73,56;13,84;2,4;0,61;9641;10,32;69,78;13329465,29
Pidie;64,94;493145;14,46;70,63;19,23;2,2;0,45;9816;8,99;66,94;10758805,68
Bireuen;69,23;410203;14,83;72,28;13,06;1,95;0,45;8857;9,28;71,22;13084368,05
Aceh Utara;66,78;375394;14,7;69,33;17,02;2,6;0,63;8122;8,63;68,80;19702646,76
Aceh Barat Daya;63,04;393640;13,58;66,75;15,93;3,41;0,9;8316;8,66;65,00;3917419,849
Gayo Lues;63,5;425529;13,77;67,22;19,32;2,44;0,66;8791;8,20;65,47;2693265,75
Aceh Tamiang;67,56;459387;13,59;69,24;13,08;1,61;0,28;8327;8,90;69,58;7512694,157
Nagan Raya;67,21;493121;14,13;69,18;17,7;3,33;0,94;8216;8,68;69,22;7656566,006
Aceh Jaya;65,16;428094;13,98;69,75;12,87;2,19;0,54;9615;8,70;67,16;2625734,251
Bener Meriah;67,21;457916;13,46;72,98;18,89;3,52;0,97;11098;9,79;69,22;4527816,08
Pidie Jaya;68,15;481308;14,82;73,2;19,19;3,08;0,81;10071;9,33;70,14;3500366,225
Kota Banda Aceh;69,48;674977;17,79;85,41;6,9;1;0,23;16778;12,65;71,45;18501628,13
Kota Sabang;68,51;599381;13,95;75,78;14,94;1,94;0,54;11273;11,14;70,51;1531407,093
Kota Langsa;67,41;407421;15,35;77,17;10,44;1,6;0,36;12057;11,11;69,42;5274021,461
Kota Lhokseumawe;69,63;401158;15,2;77,31;10,8;1,56;0,29;11367;10,91;71,60;8867266,495
Kota Subulussalam;62,08;400517;14,61;64,93;17,6;2,27;0,44;7317;7,84;64,02;1803678,42
Nias;67,74;405355;12,57;61,93;16,6;1,91;0,32;6898;5,36;69,75;4040917,359
Mandailing Natal;60,68;400721;13,32;66,79;9,18;1,14;0,19;9684;8,62;62,60;13843000,34
Tapanuli Selatan;62,96;397363;13,24;70,12;8,47;0,87;0,16;11236;9,28;64,91;14642157,51
Tapanuli Tengah;65,11;406646;13,06;69,23;12,38;1,84;0,44;10071;8,62;67,15;10138833,43
Tapanuli Utara;66,6;406813;13,69;73,47;9,37;1,18;0,21;11648;9,85;68,63;8274433,617
Toba Samosir;68,08;404864;13,45;75,16;8,71;1;0,18;12154;10,52;70,08;7845421,152
Labuhan Batu;67,9;425035;12,73;72,01;8,44;0,98;0,18;11150;9,24;69,93;34653178,75
Asahan;66,22;351314;12,6;70,29;9,04;1,37;0,33;10890;8,79;68,26;38691821,26
Simalungun;69,24;387549;12,78;73,25;8,46;1,47;0,35;11308;9,60;71,22;39441345,33
Dairi;66,99;380275;13,1;71,57;8,04;1,09;0,2;10350;9,58;69,00;9317911,388
Karo;69,42;500921;12,76;74,43;8,7;1,39;0,38;12349;9,79;71,40;20974574,01
Deli Serdang;69,76;413202;13,35;75,44;3,88;0,55;0,16;12225;10,09;71,73;110145244,5
Langkat;66,78;412422;13,05;71;9,73;1,52;0,33;11071;8,65;68,80;43207997,58
Nias Selatan;66,72;312453;12,23;61,89;16,74;2,82;0,76;6974;5,85;68,74;7164267,291
Humbang Hasundutan;67,25;374768;13,28;68,87;9,36;1,29;0,3;7850;9,54;69,27;6123455,25
Pakpak Bharat;63,79;311584;13,86;67,59;9,28;1,38;0,38;8170;9,03;65,74;1211352,019
Samosir;69,29;341843;13,47;70,63;12,48;1,84;0,46;8422;9,43;71,27;4542852,482
Serdang Bedagai;66,66;416991;12,6;70,24;7,97;0,98;0,2;10950;8,54;68,68;28602456,24
Batu Bara;64,95;452393;12,63;68,36;11,88;1,61;0,37;10410;8,06;66,96;34987641,76
Padang Lawas Utara;65,11;380379;12,87;69,85;9,7;1,2;0,22;9987;9,37;67,17;12189675,24
Padang Lawas;65,09;367932;13,03;68,25;8,37;1,19;0,29;8807;9,01;67,09;11997101,2
Labuhan Batu Selatan;66,63;404819;13;71,4;8,34;0,99;0,2;11495;8,75;68,71;28198968,3
Labuhan Batu Utara;67,46;471678;13,04;71,61;9,53;1,87;0,6;11779;8,40;69,46;25191244,23
Nias Utara;67,41;429836;13,03;62,36;25,07;4,12;0,97;6064;6,58;69,43;3710035,907
Nias Barat;66,94;433249;12,94;61,51;25,69;3,21;0,61;5830;6,49;68,96;1922535,211
Kota Sibolga;67;453786;13,16;73,63;11,95;1,49;0,26;11473;10,40;69,01;5605466,512
Kota Tanjung Balai;61,34;444125;12,5;68,65;13,33;1,69;0,32;11132;9,44;63,27;9180538,152
Kota Pematang Siantar;71,65;536486;14,45;78,75;8,27;1,1;0,26;12372;11,16;73,55;13920089,77
Kota Tebing Tinggi;68,9;493227;12,72;75,17;9,85;1,74;0,56;12876;10,31;70,87;6049163,103
Kota Medan;71,21;553796;14,74;80,98;8,01;1,08;0,23;14890;11,39;73,14;242198241,7
Kota Binjai;70,43;433746;13,62;75,89;5,71;0,59;0,11;10997;10,93;72,38;11769065,12
Kota Padangsidimpuan;67,25;417455;14,54;75,22;7,4;1,26;0,32;10856;11,00;69,41;6478662,897
