KOTKAB;AHH;GK;HLS;IPM;P0;P1;P2;PPK;RLS;UHH;PDRB
Simeulue;63,33;458896;13,9;66,41;18,98;2,37;0,5;7148;9,48;65,28;2440961,41
Aceh Singkil;65,4;487249;14,32;69,22;20,36;3,67;0,91;8776;8,68;67,43;2702914,47
Aceh Selatan;62,46;418689;14,6;67,44;13,18;1,69;0,4;8180;8,88;64,4;5960868,39
Aceh Tenggara;66,17;404725;14,01;69,44;13,41;2,51;0,71;8030;9,67;68,22;5401589,45
Aceh Timur;66,76;460422;13,04;67,83;14,45;2,31;0,54;8577;8,21;68,74;11654830,15
Aceh Tengah;66,8;505933;14,28;73,37;15,26;2,88;0,8;10780;9,86;68,86;7999947,6
Aceh Barat;65,96;533712;14,61;71,67;18,81;3,82;1,09;9593;9,55;67,99;10007107,86
Aceh Besar;67,8;489498;14,73;73,58;14,05;2,32;0,58;9644;10,33;69,79;14023478,15
Pidie;64,95;504452;14,47;70,7;19,59;3,04;0,84;9860;9;66,95;11322893,27
Bireuen;69,26;422685;14,84;72,33;13,25;2,07;0,4;8867;9,29;71,26;14056534,53
Aceh Utara;66,78;392412;14,71;69,46;17,43;2,17;0,43;8201;8,64;68,81;23192935,1
Aceh Barat Daya;63,1;406157;13,65;66,99;16,34;2,88;0,74;8428;8,67;65,06;4134847,2
Gayo Lues;63,55;438689;13,78;67,56;19,64;2,76;0,59;8856;8,4;65,53;2854808,79
Aceh Tamiang;67,59;479801;13,76;69,48;13,34;1,67;0,35;8367;8,91;69,63;8862480,82
Nagan Raya;67,24;508801;14,14;69,31;18,23;3,5;1,01;8292;8,69;69,24;9185404,46
Aceh Jaya;65,19;441706;13,99;69,84;13,23;2,06;0,5;9666;8,71;67,19;2851397,37
Bener Meriah;67,27;476074;13,47;73,27;19,16;4,62;1,51;11118;10;69,26;4961937,18
Pidie Jaya;68,21;495254;14,97;73,6;19,55;3,61;0,98;10290;9,34;70,18;3669650,72
Kota Banda Aceh;69,56;698617;17,8;85,71;7,61;1,12;0,36;16891;12,83;71,52;19943395,17
Kota Sabang;68,55;620373;14,13;76,11;15,32;2,8;0,82;11378;11,18;70,56;1596295,22
Kota Langsa;67,42;435438;15,63;77,44;10,96;1,53;0,33;12067;11,12;69,43;5748993,79
Kota Lhokseumawe;69,7;427045;15,21;77,57;11,16;1,87;0,54;11390;11,11;71,64;9422285,89
Kota Subulussalam;62,14;418643;14,62;65,27;17,65;2,29;0,48;7385;8,03;64,07;2102899,14
Nias;67,79;428739;12,84;62,74;16,82;2,21;0,43;6995;5,64;69,78;4221862,94
Mandailing Natal;60,74;423017;13,61;67,19;9,49;1,44;0,37;9771;8,63;62,65;14880421,96
Tapanuli Selatan;63,05;420431;13,35;70,33;8,8;1,53;0,4;11304;9,29;64,97;15471446,89
Tapanuli Tengah;65,19;429050;13,07;69,61;12,67;2,04;0,47;10138;8,84;67,24;10618746,39
Tapanuli Utara;66,72;437428;13,7;73,76;9,72;1,21;0,23;11710;9,99;68,76;8800075,99
Toba Samosir;68,22;435332;13,46;75,39;8,99;1,34;0,31;12224;10,57;70,29;8266129,67
Labuhan Batu;67,92;457021;12,74;72,09;8,74;1,32;0,29;11212;9,25;69,95;37606878,29
Asahan;66,34;377752;12,61;70,49;9,35;1,9;0,59;11030;8,8;68,37;41994241,94
Simalungun;69,38;416714;12,79;73,4;8,81;1,12;0,23;11376;9,61;71,37;42576878,66
Dairi;67,2;408893;13,11;71,84;8,31;1,24;0,28;10504;9,59;69,19;9710798,66
Karo;69,55;531519;12,77;74,83;8,79;1,23;0,29;12412;10;71,58;21824143,93
Deli Serdang;69,88;428123;13,36;75,53;4,01;0,56;0,13;12291;10,1;71,77;115306307,7
Langkat;66,98;432371;13,24;71,35;10,12;1,17;0,23;11142;8,66;68,97;46301203,75
Nias Selatan;66,87;329308;12,27;62,35;16,92;2,38;0,52;7041;6,06;68,86;7420629,16
Humbang Hasundutan;67,45;397237;13,29;69,41;9,65;1,25;0,26;8016;9,71;69,51;6356726,89
Pakpak Bharat;63,94;332644;13,87;67,94;9,35;1,05;0,2;8254;9,14;65,96;1270714,86
Samosir;69,39;370082;13,48;70,83;12,68;2,2;0,6;8504;9,44;71,41;4755233,29
Serdang Bedagai;66,86;448372;12,61;70,56;8,3;0,87;0,13;11017;8,69;68,82;30418853,85
Batu Bara;65,13;477564;12,64;68,58;12,38;1,99;0,51;10539;8,07;67,13;37197713,59
Padang Lawas Utara;65,2;401435;13,04;70,11;9,92;1,29;0,24;10055;9,38;67,22;13137918,34
Padang Lawas;65,18;388404;13,27;68,64;8,69;1,33;0,34;8921;9,02;67,13;13139141,72
Labuhan Batu Selatan;66,72;426574;13,01;71,69;8,53;1,22;0,26;11562;8,9;68,81;30754125,33
Labuhan Batu Utara;67,59;497922;13,19;71,87;10,02;1,07;0,22;11840;8,41;69,56;27400504,4
Nias Utara;67,52;455118;13,04;62,82;25,66;4,24;1,1;6155;6,77;69,55;3875066,13
Nias Barat;67,07;458533;12,95;61,99;26,42;3,32;0,76;5924;6,69;69,08;2019877,91
Kota Sibolga;67,29;485527;13,28;73,94;12,33;2,04;0,51;11540;10,41;69,25;5796108,12
Kota Tanjung Balai;61,58;482602;12,62;68,94;13,4;1,72;0,32;11225;9,45;63,44;9632703,56
Kota Pematang Siantar;71,9;583588;14,57;79,17;8,52;1,12;0,24;12436;11,29;73,77;14208225,58
Kota Tebing Tinggi;69,02;536531;12,73;75,42;10,3;1,37;0,28;12939;10,44;70,95;6349945,28
Kota Medan;71,37;577126;14,75;81,21;8,34;1,1;0,23;14999;11,48;73,23;254721318,8
Kota Binjai;70,54;466554;13,63;76,01;5,81;0,59;0,09;11063;10,94;72,45;12317148,23
Kota Padangsidimpuan;67,34;453777;14,56;75,48;7,53;1,17;0,28;10965;11,09;69,5;6784395,75
Kota Gunungsitoli;69,34;408190;13,75;69,61;16,45;2,66;0,68;8134;8,62;71,32;6017546,51
Kepulauan Mentawai;62,72;356403;12,89;61,35;14,84;2,43;0,63;6321;7,2;64,73;4843813,95
Pesisir Selatan;68,93;491573;13,33;70,03;7,92;0,87;0,15;9270;8,27;70,96;14927572,58
Solok;66,77;461030;13,05;69,24;8,01;0,91;0,15;10215;7,87;68,79;14178062,2
Sijunjung;64,38;455346;12,38;67,86;6,8;0,86;0,17;10389;8,12;66,36;9566572,91
Tanah Datar;68,12;441793;14,34;72,46;4,54;0,64;0,13;10616;8,62;70,12;13590935,7
Padang Pariaman;66,94;475342;13,68;70,76;7,22;0,81;0,16;11050;7,88;68,97;18455088,03
Agam;70,58;444711;13,88;72,57;6,85;0,98;0,23;9662;8,97;72,53;21351359,64
Lima Puluh Kota;67,84;475123;13,3;69,68;7,29;1,21;0,3;9668;8,07;69,84;16182473,43
Pasaman;65,53;408293;12,81;66,77;7,48;0,67;0,13;8440;8,1;67,59;9433249,73
Solok Selatan;65,94;438187;12,72;69,23;7,52;1,28;0,31;10367;8,32;68,01;5777977,93
Dharmasraya;69,55;503183;12,44;71,76;6,67;0,75;0,12;11324;8,55;71,53;10754664,96
Pasaman Barat;65,69;492467;13,68;68,76;7,51;1,24;0,29;9089;8,27;67,94;15931875,79
Kota Padang;71,83;602540;16,53;82,9;4,94;0,67;0,13;14540;11,59;73,69;65179471,01
Kota Solok;71,83;464977;14,33;78,41;3,12;0,28;0,05;12168;11,04;73,73;4251892,56
Kota Sawah Lunto;68,15;412757;13,18;72,88;2,38;0,33;0,06;10195;10,32;70,1;3850697,74
