2022;AHH;GK;HLS;IPM;P0;P1;P2;PPK;RLS;UHH;PDRB
Simeulue;63,52;493303,00;14,08;67,27;18,37;2,73;0,65;7371;9,73;65,48;
Aceh Singkil;65,56;518951,00;14,34;69,62;19,18;3,18;0,74;8994;8,69;67,65;
Aceh Selatan;62,68;446224,00;14,69;67,87;12,43;1,31;0,23;8353;8,89;64,64;
Aceh Tenggara;66,39;430825,00;14,26;70,32;12,83;1,92;0,44;8222;9,92;68,48;
Aceh Timur;66,92;491550,00;13,06;68,72;13,91;2,78;0,67;9127;8,32;68,94;
Aceh Tengah;66,95;533810,00;14,61;73,95;14,50;2,41;0,59;10957;9,87;69,05;
Aceh Barat;66,13;558638,00;14,63;72,34;17,93;2,22;0,45;9775;9,87;68,19;
Aceh Besar;67,96;519320,00;14,75;74,00;13,38;2,09;0,58;9894;10,35;69,99;
Pidie;65,12;535713,00;14,49;71,20;18,79;3,10;0,75;10211;9,02;67,15;
Bireuen;69,45;451163,00;14,86;73,16;12,51;2,08;0,53;9438;9,31;71,48;
Aceh Utara;66,94;420615,00;14,73;70,22;16,86;2,48;0,57;8620;8,73;69,01;
Aceh Barat Daya;63,31;430297,00;13,66;67,41;15,44;1,69;0,30;8651;8,68;65,30;
Gayo Lues;63,76;470221,00;14,08;68,25;18,87;2,67;0,63;9094;8,41;65,77;
Aceh Tamiang;67,78;508599,00;13,96;70,43;12,61;1,80;0,39;8759;9,04;69,87;
Nagan Raya;67,43;544300,00;14,16;70,10;17,38;3,06;0,76;8581;8,95;69,45;
Aceh Jaya;65,37;468854,00;14,01;70,36;12,51;1,61;0,30;10041;8,72;67,40;
Bener Meriah;67,49;512111,00;13,71;73,90;18,39;3,54;1,09;11421;10,01;69,48;
Pidie Jaya;68,43;523239,00;14,98;74,34;18,45;2,66;0,56;10701;9,53;70,41;
Kota Banda Aceh;69,81;737016,00;17,81;86,28;7,13;1,52;0,48;17228;13,03;71,79;
