KOTKAB;lat;long
Aceh Barat;4,45;96,15
Aceh Barat Daya;3,8;97,01
Aceh Besar;5,45;95,48
Aceh Jaya;4,79;95,65
Aceh Selatan;3,31;97,35
Aceh Singkil;2,36;97,87
Aceh Tamiang;4,23;98
Aceh Tengah;4,45;96,84
Aceh Tenggara;3,31;97,7
Aceh Timur;4,52;97,61
Aceh Utara;4,98;97,22
Asahan;2,82;99,63
Batu Bara;3,17;99,5
Bener Meriah;4,75;96,95
Bireuen;5,11;96,66
Dairi;2,87;98,27
Deli Serdang;3,42;98,7
Gayo Lues;3,96;97,35
Humbang Hasundutan;2,2;98,57
Kep. Seribu;-5,61;106,62
Agam;-0,22;100,17
Alor;-8,29;124,55
Asmat;-5,06;138,4
Badung;-8,58;115,18
Balangan;-2,33;115,62
Bandung;-7,13;107,62
Bandung Barat;-6,87;107,49
Banggai;-0,96;122,63
Banggai Kepulauan;-0,96;122,63
Banggai Laut;-1,67;123,55
Bangka;-1,87;105,92
Bangka Barat;-1,84;105,5
Bangka Selatan;-2,74;106,44
Bangka Tengah;-2,4;106,21
Bangkalan;-7,04;112,91
Bangli;-8,3;115,35
Banjar;-3,32;115
Banjarnegara;-7,38;109,62
Bantaeng;-5,52;120,02
Bantul;-7,92;110,38
Banyu Asin;-2,61;104,75
Banyumas;-7,48;109,14
Banyuwangi;-8,22;114,37
Barito Kuala;-3,07;114,67
Barito Selatan;-1,88;114,81
Barito Timur;-2,01;115,19
Barito Utara;-0,96;115,09
Barru;-4,44;119,65
Batang;-7,04;109,9
Batang Hari;-1,71;103,08
Bekasi;-6,25;107,15
Belitung;-2,72;107,76
Belitung Timur;-2,87;108,14
Belu;-9,15;124,91
Bengkalis;1,41;101,62
Bengkayang;1,07;109,66
Bengkulu Selatan;-4,32;103,04
Bengkulu Tengah;-3,7;102,39
Bengkulu Utara;-3,27;101,98
Berau;2,05;117,36
Biak Numfor;-1,04;135,98
Bima;-8,44;118,63
Bintan;1,06;104,52
Blitar;-8,1;112,16
Blora;-7,01;111,38
Boalemo;0,7;122,27
Bogor;-6,55;106,63
Bojonegoro;-7,32;111,76
Bolaang Mongondow;0,69;124,06
Bolaang Mongondow Selatan;0,41;123,84
Bolaang Mongondow Timur;0,72;124,46
Bolaang Mongondow Utara;0,91;123,27
Bombana;-4,65;121,9
Bondowoso;-7,97;113,91
Bone;-4,74;120,07
Bone Bolango;0,57;123,35
Boven Digoel;-5,74;140,35
Boyolali;-7,43;110,69
Brebes;-6,96;108,9
Buleleng;-8,22;114,95
Bulukumba;-5,43;120,21
Bulungan;2,9;116,99
Bungo;-1,64;101,89
Buol;0,97;121,35
Buru;-3,33;126,7
Buru Selatan;-3,73;126,7
Buton;-5,31;122,99
Buton Selatan;-5,31;122,99
Buton Tengah;-5,39;122,56
Buton Utara;-4,7;123,03
Ciamis;-7,33;108,35
Cianjur;-7,36;107,2
Cilacap;-7,62;108,9
Cirebon;-6,69;108,48
Deiyai;-4,1;136,44
Demak;-6,92;110,66
Dharmasraya;-1,11;101,62
Dogiyai;-4,05;135,68
Dompu;-8,54;118,35
Donggala;-0,42;119,84
Empat Lawang;-3,73;102,9
Ende;-8,68;121,72
Enrekang;-3,46;119,88
Fakfak;-3,1;133,02
Flores Timur;-8,31;122,97
Garut;-7,5;107,76
Gianyar;-8,42;115,26
Gorontalo;0,57;122,81
Gorontalo Utara;0,93;122,49
Gowa;-5,31;119,74
Gresik;-7,16;112,57
Grobogan;-7,15;110,95
Gunung Mas;-1,25;113,57
Gunung Kidul;-8,03;110,62
Halmahera Barat;1,36;127,6
Halmahera Selatan;-1,51;127,72
Halmahera Tengah;0,44;128,36
Halmahera Timur;1,31;128,49
Halmahera Utara;1,51;127,89
Hulu Sungai Selatan;-2,77;115,24
Hulu Sungai Tengah;-2,62;115,52
Hulu Sungai Utara;-2,44;115,19
Indragiri Hilir;-0,15;102,99
Indragiri Hulu;-0,74;102,25
Indramayu;-6,34;108,33
Intan Jaya;-3,51;136,75
Jayapura;-2,99;139,85
Jayawijaya;-4;138,8
Jember;-8,18;113,67
Jembrana;-8,32;114,67
Jeneponto;-5,55;119,67
Jepara;-6,58;110,68
Jombang;-7,57;112,29
Kaimana;-3,29;133,94
Kampar;0,15;101,16
Kapuas;-1,81;114,33
Kapuas Hulu;0,83;113
Karanganyar;-7,64;111,05
Karangasem;-8,35;115,52
Karawang;-6,32;107,34
Karimun;0,77;103,4
Katingan;-0,98;112,81
Kaur;-4,52;103,27
Kayong Utara;-0,92;110,05
Kebumen;-7,67;109,65
Kediri;-7,82;112,19
Keerom;-3,35;140,76
Kendal;-7,03;110,19
Kepahiang;-3,61;102,67
Kepulauan Anambas;3,11;105,65
Kepulauan Aru;-6,19;134,55
Kepulauan Mentawai;-1,43;98,92
Kepulauan Meranti;0,92;102,67
Kepulauan Sangihe;3,63;125,5
Kepulauan Selayar;-6,29;120,5
Siau Tagulandang Biaro;2,35;125,41
Kepulauan Sula;-1,85;125,34
Kepulauan Talaud;4,31;126,8
Kepulauan Yapen;-1,75;136,17
Kerinci;-1,87;101,43
Ketapang;-1,57;110,52
Klaten;-7,66;110,66
Klungkung;-8,73;115,54
Kolaka;-3,99;121,58
Kolaka Timur;-4,23;121,9
Kolaka Utara;-3,13;121,17
Konawe;-3,94;122,08
Konawe Kepulauan;-4,14;123,12
Konawe Selatan;-4,2;122,45
Konawe Utara;-3,38;122,08
Kota Baru;-3;115,95
Kotawaringin Barat;-2,51;111,76
Kotawaringin Timur;-2,12;112,81
Kuantan Singingi;-0,44;101,52
Kubu Raya;-0,35;109,47
Kudus;-6,77;110,88
Kulon Progo;-7,83;110,16
Kuningan;-7,01;108,57
Kupang;-9,99;123,89
Kutai Barat;-0,41;115,85
Kutai Kartanegara;-0,13;116,61
Kutai Timur;0,94;116,99
Lahat;-3,8;103,36
Lamandau;-1,85;111,28
Lamongan;-7,13;112,33
Lampung Barat;-5,11;104,15
Lampung Selatan;-5,56;105,55
Lampung Tengah;-4,8;105,31
Lampung Timur;-5,11;105,69
Lampung Utara;-4,81;104,75
Landak;0,42;109,76
Lanny Jaya;-3,97;138,32
Lebak;-6,56;106,25
Lebong;-3,15;102,21
Lembata;-8,47;123,48
Lima Puluh Kota;0,07;100,53
Lingga;-0,47;104,43
Lombok Barat;-8,65;116,11
Lombok Tengah;-8,69;116,28
Lombok Timur;-8,51;116,56
Lombok Utara;-8,37;116,28
Lumajang;-8,09;113,14
Luwu;-3,31;120,25
Luwu Timur;-2,58;121,17
Luwu Utara;-2,27;119,97
Madiun;-7,61;111,62
Magelang;-7,43;110,28
Magetan;-7,64;111,36
Mahakam Ulu;0,96;114,71
Majalengka;-6,78;108,29
Majene;-3,03;118,91
Malaka;-9,53;124,91
Malang;-8,24;112,72
Malinau;3,07;116,04
Maluku Barat Daya;-7,79;126,35
Maluku Tengah;-3,02;129,49
Maluku Tenggara;-5,75;132,73
Maluku Tenggara Barat;-7,53;131,36
Mamasa;-2,91;119,33
Mamberamo Raya;-2,53;137,76
Mamberamo Tengah;-2,37;138,32
Mamuju;-2,49;119,33
Mamuju Tengah;-1,94;119,51
Mamuju Utara;-1,53;119,51
Manggarai;-8,68;120,39
Manggarai Barat;-8,67;120,07
Manggarai Timur;-8,62;120,62
Manokwari;-1;133,02
Manokwari Selatan;-1;133,02
Mappi;-6,76;139,69
Maros;-5,05;119,7
Maybrat;-1,3;132,32
Melawi;-0,7;111,67
Mempawah;0,39;109,14
Merangin;-2,18;101,98
Merauke;-7,78;139,04
Mesuji;-4;105,31
Mimika;-4,46;137,14
Minahasa;1,22;124,82
Minahasa Selatan;1,09;124,46
Minahasa Tenggara;1,03;124,73
Minahasa Utara;1,53;124,99
Mojokerto;-7,47;112,44
Morowali;-2,7;121,9
Morowali Utara;-1,63;121,35
Muara Enim;-3,71;104,01
Muaro Jambi;-1,55;103,82
Mukomuko;-2,64;101,43
Muna;-4,9;122,63
Muna Barat;-4,9;122,63
Murung Raya;-0,14;114,33
Musi Banyuasin;-2,54;103,73
Musi Rawas;-3,1;103,08
Musi Rawas Utara;-2,79;102,71
Nabire;-3,51;135,75
Nagekeo;-8,68;121,31
Natuna;4;108,25
Nduga;-4,41;138,24
Ngada;-8,74;120,99
Nganjuk;-7,59;111,9
Ngawi;-7,46;111,33
Nunukan;4,08;116,61
Ogan Ilir;-3,43;104,61
Ogan Komering Ilir;-3,46;105,22
Ogan Komering Ulu;-4,03;104,01
Ogan Komering Ulu Selatan;-4,67;104,01
Ogan Komering Ulu Timur;-3,86;104,75
Pacitan;-8,13;111,14
Padang Pariaman;-0,55;100,22
Pamekasan;-7,11;113,53
Pandeglang;-6,75;105,69
Pangandaran;-7,62;108,5
Pangkajene dan Kepulauan;-4,81;119,56
Paniai;-3,79;136,36
Parigi Moutong;0,58;120,8
Pasaman;0,22;100,17
Pasaman Barat;0,22;99,63
Paser;-1,72;115,95
Pasuruan;-7,79;112,86
Pati;-6,75;111,05
Pegunungan Arfak;-1,16;133,71
Pegunungan Bintang;-4,56;140,51
Pekalongan;-7,05;109,62
Pelalawan;0,15;102,25
Pemalang;-7,06;109,43
Penajam Paser Utara;-1,29;116,51
Penukal Abab Lematang Ilir;-3,24;104,01
Pesawaran;-5,49;105,08
Pesisir Barat;-5,29;104,12
Pesisir Selatan;-1,72;100,89
Pinrang;-3,65;119,56
Pohuwato;0,71;121,72
Polewali Mandar;-3,34;119,14
Ponorogo;-7,87;111,47
Poso;-1,65;120,44
Pringsewu;-5,33;104,99
Probolinggo;-7,87;113,48
Pulang Pisau;-2,69;113,95
Pulau Morotai;2,37;128,4
Pulau Taliabu;-1,83;124,77
Puncak;-3,86;137,61
Puncak Jaya;-3,45;137,84
Purbalingga;-7,31;109,43
Purwakarta;-6,56;107,43
Purworejo;-7,7;110
Raja Ampat;-1,09;130,88
Rejang Lebong;-3,45;102,67
Rembang;-6,81;111,43
Rokan Hilir;1,65;100,8
Rokan Hulu;1,04;100,44
Rote Ndao;-10,74;123,12
Sabu Raijua;-10,55;121,83
Sambas;1,36;109,28
Sampang;-7,04;113,24
Sanggau;0,14;110,52
Sarmi;-2,47;139,2
Sarolangun;-2,32;102,71
Sekadau;-0,07;111
Seluma;-4,05;102,71
Semarang;-7,18;110,47
Seram Bagian Barat;-3,13;128,4
Seram Bagian Timur;-3,42;130,23
Serang;-6,14;106,04
Seruyan;-3,01;112,43
Siak;0,81;101,8
Sidenreng Rappang;-3,77;120,02
Sidoarjo;-7,47;112,67
Sigi;-1,39;119,88
Sijunjung;-0,66;101,07
Sikka;-8,68;122,13
Sinjai;-5,22;120,11
Sintang;-0,14;112,81
Situbondo;-7,79;114,19
Sleman;-7,73;110,4
Solok;-0,96;100,89
Solok Selatan;-1,42;101,25
Soppeng;-4,35;119,93
Sorong;-1,12;131,49
Sorong Selatan;-1,77;132,16
Sragen;-7,43;111,01
Subang;-6,35;107,76
